Nombre,Pais,% de votos,ranking,continente,posicion,edad
Lionel Messi,Argentina,24.36,1,America,delantero,32
Virgil Van Dijk,Holanda,24.11,2,Europa,defensor,28
Cristiano Ronaldo,Portugal,16.9,3,Europa,delantero,34
Sadio Mane,Senegal,12.32,4,Africa,delantero,27
Mohammed Salah,Egipto,6.32,5,Africa,delantero,27
Kylian Mbappe,Francia,3.16,6,Europa,delantero,21
Alisson Becker,Brasil,2.38,7,America,arquero,27
Robert Lewandowski,Polonia,1.56,8,Europa,delantero,31
Bernardo Silva,Portugal,1.46,9,Europa,mediocampista,25
Riyad Mahrez,Argelia,1.17,10,Africa,mediocampista,28
Frenkie de Jong,Holanda,1.1,11,Europa,mediocampista,22
Raheem Sterling,Inglaterra,1.07,12,Europa,delantero,25
Eden Hazard,Belgica,0.89,13,Europa,delantero,28
Kevin de Bruyne,Belgica,0.5,14,Europa,mediocampista,28
Matthijs de Ligt,Holanda,0.46,15,Europa,defensor,20
